Annotator	Annotation date	Name	GBE ID	TableID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link	Notes
Rivas Lab	8/27/17	Doctor_diagnosed_hayfever_or_allergic_rhinitis	BIN22126	9797	Doctor diagnosed hayfever or allergic rhinitis	22126		1		1			1	0	121291	Accruing	Categorical single		Primary	Unisex	1	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22126	
	8/27/17	Doctor_diagnosed_asthma	BIN22127	9797	Doctor diagnosed asthma	22127		1		1			1	0	121291	Accruing	Categorical single		Primary	Unisex	1	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22127	
	8/27/17	Doctor_diagnosed_emphysema	BIN22128	9797	Doctor diagnosed emphysema	22128		1		1			1	0	121291	Accruing	Categorical single		Primary	Unisex	1	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22128	
	8/27/17	Doctor_diagnosed_chronic_bronchitis	BIN22129	9797	Doctor diagnosed chronic bronchitis	22129		1		1			1	0	121291	Accruing	Categorical single		Primary	Unisex	1	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22129	
	8/27/17	Doctor_diagnosed_COPD_(chronic_obstructive_pulmonary_disease)	BIN22130	9797	Doctor diagnosed COPD (chronic obstructive pulmonary disease)	22130		1		1			1	0	121291	Accruing	Categorical single		Primary	Unisex	1	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22130	
	8/27/17	Doctor_diagnosed_cystic_fibrosis	BIN22131	9797	Doctor diagnosed cystic fibrosis	22131		1		1			1	0	121291	Accruing	Categorical single		Primary	Unisex	1	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22131	
	8/27/17	Doctor_diagnosed_alpha-1_antitrypsin_deficiency	BIN22132	9797	Doctor diagnosed alpha-1 antitrypsin deficiency	22132		1		1			1	0	121291	Accruing	Categorical single		Primary	Unisex	1	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22132	
	8/27/17	Doctor_diagnosed_sarcoidosis	BIN22133	9797	Doctor diagnosed sarcoidosis	22133		1		1			1	0	121291	Accruing	Categorical single		Primary	Unisex	1	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22133	
	8/27/17	Doctor_diagnosed_bronchiectasis	BIN22134	9797	Doctor diagnosed bronchiectasis	22134		1		1			1	0	121291	Accruing	Categorical single		Primary	Unisex	1	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22134	
	8/27/17	Doctor_diagnosed_idiopathic_pulmonary_fibrosis	BIN22135	9797	Doctor diagnosed idiopathic pulmonary fibrosis	22135		1		1			1	0	121291	Accruing	Categorical single		Primary	Unisex	1	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22135	
	8/27/17	Doctor_diagnosed_fibrosing_alveolitis/unspecified_alveolitis	BIN22136	9797	Doctor diagnosed fibrosing alveolitis/unspecified alveolitis	22136		1		1			1	0	121291	Accruing	Categorical single		Primary	Unisex	1	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22136	
	8/27/17	Doctor_diagnosed_tuberculosis	BIN22137	9797	Doctor diagnosed tuberculosis	22137		1		1			1	0	121291	Accruing	Categorical single		Primary	Unisex	1	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22137	
	8/27/17	Doctor_diagnosed_silicosis	BIN22138	9797	Doctor diagnosed silicosis	22138		1		1			1	0	121291	Accruing	Categorical single		Primary	Unisex	1	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22138	
	8/27/17	Doctor_diagnosed_asbestosis	BIN22139	9797	Doctor diagnosed asbestosis	22139		1		1			1	0	121291	Accruing	Categorical single		Primary	Unisex	1	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22139	
	8/27/17	Doctor_diagnosed_lung_cancer_(not_mesothelioma)	BIN22140	9797	Doctor diagnosed lung cancer (not mesothelioma)	22140		1		1			1	0	121291	Accruing	Categorical single		Primary	Unisex	1	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22140	
	8/27/17	Doctor_diagnosed_mesothelioma_of_the_lung	BIN22141	9797	Doctor diagnosed mesothelioma of the lung	22141		1		1			1	0	121291	Accruing	Categorical single		Primary	Unisex	1	1	7	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=22141	
