GBE ID	Name	TableID	FieldID	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Field	Participants	Items	Stability	ValueType	Units	ItemType	Sexed	Instances	Array	Coding	Notes	Link	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	
BIN_FC10001259	Smoking/smokers_in_household	9797	1259	100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	Smoking/smokers in household	460343	495420	Complete	Categorical single	Data	Primary	Unisex	3	1	100370	"ACE touchscreen question ""Does anyone in your household smoke?"" ~F1259~ was collected from all participants except those who indicated they currently smoke tobacco on most or all days, as defined by their answers to ~F1239~"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1259	0	1		1	-3		1;2	0	
BIN_FC10001677	Breastfed_as_a_baby	10137	1677	100000	UK Biobank Assessment Centre	100025	Touchscreen	100033	Early life factors	Breastfed as a baby	501726	533729	Complete	Categorical single	Data	Primary	Unisex	3	1	100349	"ACE touchscreen question ""Were you breastfed when you were a baby?"""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1677	0	1		1	"-1,-3"		1	0	
BIN_FC10001767	Adopted_as_a_child	10137	1767	100000	UK Biobank Assessment Centre	100025	Touchscreen	100033	Early life factors	Adopted as a child	501728	539140	Complete	Categorical single	Data	Primary	Unisex	3	1	100349	"ACE touchscreen question ""Were you adopted as a child?"""	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1767	0	1		1	"-1,-3"		1	0	
BIN_FC10001777	Part_of_a_multiple_birth	10137	1777	100000	UK Biobank Assessment Centre	100025	Touchscreen	100033	Early life factors	Part of a multiple birth	494381	525913	Complete	Categorical single	Data	Primary	Unisex	3	1	100349	"ACE touchscreen question ""Are you a twin, triplet or other multiple birth?"" ~F1777~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1777	0	1		1	"-1,-3"		1	0	
BIN_FC10001787	Maternal_smoking_around_birth	10137	1787	100000	UK Biobank Assessment Centre	100025	Touchscreen	100033	Early life factors	Maternal smoking around birth	494381	525913	Complete	Categorical single	Data	Primary	Unisex	3	1	100349	"ACE touchscreen question ""Did your mother smoke regularly around the time when you were born?"" ~F1787~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1787	0	1		1	"-1,-3"		1	0	
BIN_FC10001797	Father_still_alive	9797	1797	100000	UK Biobank Assessment Centre	100025	Touchscreen	100034	Family history	Father still alive	494388	531255	Complete	Categorical single	Data	Primary	Unisex	3	1	100349	"ACE touchscreen question ""Is your father still alive?"" ~F1797~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1797	0	1		1	"-1,-3"		1	0	
BIN_FC10001835	Mother_still_alive	9797	1835	100000	UK Biobank Assessment Centre	100025	Touchscreen	100034	Family history	Mother still alive	494388	531255	Complete	Categorical single	Data	Primary	Unisex	3	1	100349	"ACE touchscreen question ""Is your mother still alive?"" ~F1835~ was collected from all participants except those who indicated they were adopted as a child, as defined by their answers to ~F1767~"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1835	0	1		1	"-1,-3"		1	0	
BIN_FC10001920	Mood_swings	10137	1920	100000	UK Biobank Assessment Centre	100025	Touchscreen	100059	Psychosocial factors	Mood swings	501724	539136	Complete	Categorical single	Data	Primary	Unisex	3	1	100349	"ACE touchscreen question ""Does your mood often go up and down?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1920	0	1		1	"-1,-3"		1	0	
BIN_FC10001930	Miserableness	10137	1930	100000	UK Biobank Assessment Centre	100025	Touchscreen	100059	Psychosocial factors	Miserableness	501724	539136	Complete	Categorical single	Data	Primary	Unisex	3	1	100349	"ACE touchscreen question ""Do you ever feel 'just miserable' for no reason?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1930	0	1		1	"-1,-3"		1	0	
BIN_FC10001940	Irritability	10137	1940	100000	UK Biobank Assessment Centre	100025	Touchscreen	100059	Psychosocial factors	Irritability	501724	539136	Complete	Categorical single	Data	Primary	Unisex	3	1	100349	"ACE touchscreen question ""Are you an irritable person?"" If the participant activated the Help button they were shown the message:     Work through these questions quickly and do not think about the exact meaning of the question"	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1940	0	1		1	"-1,-3"		1	0	
