Annotator	Annotation date	Name	GBE ID	Field	BasketID	TableID	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link	Notes	Source_file
	2017-Nov-10	Ever_attempted_suicide	BIN20483	Ever attempted suicide		10484	20483	0	1		1	-818		1	0	6872	Accruing	Categorical single		Primary	Unisex	1	1	503	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20483	"Question asked: ""Have you harmed yourself with the intention to end your life?"" Question was asked when ~F20480~ was Yes."	ukb_20171110.tsv
		Ever_attempted_suicide	BIN20483			10484	20483	0	1		1	-818		1	0									503	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=503		ukb_20171015.tsv
Guhan	11/26/18	Sleep_duration	INI1160	Sleep duration		9797	1160	1		1		-1;-3				501672	Complete	Integer	hours/day	Primary	Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1160		ukb_20170818.tsv
		Sleep_duration	INI1160	Sleep duration		9797	1160	1	0	1		-1,-3				501741	Complete	Integer	Data		Unisex	3	1	100291	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1160	"ACE touchscreen question ""About how many hours sleep do you get in every 24 hours? (please include naps)"" The following checks were performed:  If answer   If answer > 23 then rejected  If answer   If answer > 12 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If the time you spend sleeping varies a lot, give the average time for a 24 hour day in the last 4 weeks."	ukb_20171211.tsv
Guhan	11/26/18	Ventricular_rate	INI12336	Ventricular rate		10137	12336	1		1						25071	Accruing	Integer	bpm	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12336		ukb_20170818.tsv
Matt	11/9/18	Ventricular_rate	INI12336	Ventricular rate		25279	12336	1		1						25071	Accruing	Integer	bpm	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12336		ukb_20181109.tsv
Matt	11/9/18	P_duration	INI12338	P duration		25279	12338	1		1						23842	Accruing	Integer	ms	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12338		ukb_20181109.tsv
Guhan	11/26/18	P_duration	INI12338	P duration		10137	12338	1		1						23842	Accruing	Integer	ms	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12338		ukb_20170818.tsv
Matt	11/9/18	QRS_duration	INI12340	QRS duration		25279	12340	1		1						25071	Accruing	Integer	ms	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12340		ukb_20181109.tsv
Guhan	11/26/18	QRS_duration	INI12340	QRS duration		10137	12340	1		1						25071	Accruing	Integer	ms	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12340		ukb_20170818.tsv
		Cooked_vegetable_intake	INI1289	Cooked vegetable intake		9797	1289	1	0	1		-10,-3,-1				501735	Complete	Integer	Data		Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1289	"ACE touchscreen question ""On average how many heaped tablespoons of COOKED vegetables would you eat per DAY? (Do not include potatoes; put '0' if you do not eat any)"" The following checks were performed:  If answer > 50 then rejected   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know. If you have less than one tablespoon a day select Less than one."	ukb_20171211.tsv
Guhan	11/26/18	Cooked_vegetable_intake	INI1289	Cooked vegetable intake		9797	1289	1		1		-10;-1;-3				501666	Complete	Integer	tablespoons/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1289	NOTE: need to implement --recode in order to account for -10 (less than one a a day) coding!	ukb_20170818.tsv
		Salad_/_raw_vegetable_intake	INI1299	Salad / raw vegetable intake		9797	1299	1	0	1		-10,-3,-1				501735	Complete	Integer	Data		Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1299	"ACE touchscreen question ""On average how many heaped tablespoons of SALAD or RAW vegetables would you eat per DAY? (Include lettuce, tomato in sandwiches; put '0' if you do not eat any)"" The following checks were performed:  If answer > 50 then rejected   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know. If you have less than one tablespoon a day select Less than one."	ukb_20171211.tsv
Guhan	11/26/18	Salad_/_raw_vegetable_intake	INI1299	Salad / raw vegetable intake		9797	1299	1		1		-10;-1;-3				501666	Complete	Integer	tablespoons/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1299		ukb_20170818.tsv
		Fresh_fruit_intake	INI1309	Fresh fruit intake		9797	1309	1	0	1		-10,-3,-1				501735	Complete	Integer	Data		Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1309	"ACE touchscreen question ""About how many pieces of FRESH fruit would you eat per DAY? (Count one apple, one banana, 10 grapes etc as one piece; put '0' if you do not eat any)"" The following checks were performed:  If answer > 50 then rejected   If the participant activated the Help button they were shown the message:     Please provide an average considering your intake over the last year. If you are unsure, please provide an estimate or select Do not know."	ukb_20171211.tsv
Guhan	11/26/18	Fresh_fruit_intake	INI1309	Fresh fruit intake		9797	1309	1		1		-10;-1;-3				501666	Complete	Integer	pieces/day	Primary	Unisex	3	1	100373	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1309		ukb_20170818.tsv
