Annotator	Annotation date	Name	GBE_ID	TableID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link	Note
Guhan	4/9/2019	Snoring	BIN1210	9797	1210			1		1	-1,-3		1	2									100345	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1210	
Guhan	4/9/2019	Current_tobacco_smoking	QT_FC10001239	9797	1239		1		1		-3	0;2;1											100347	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1239	
Guhan	4/9/2019	Male_pattern_baldness_severity_quantitative	QT_FC1002395	10137	2395		1	1	1		-1,-3	1;2;3;4											100572	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2395	
Guhan	4/9/2019	Male_pattern_baldness_severity_2	BIN_FC4002395	10137	2395			6		4	-1,-3		2	1,3,4									100572	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2395	Pattern 2
Guhan	4/9/2019	Male_pattern_baldness_severity_3	BIN_FC5002395	10137	2395			6		5	-1,-3		3	2,3,4									100572	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2395	Pattern 3
Guhan	4/9/2019	Male_pattern_baldness_severity_4	BIN_FC6002395	10137	2395			6		6	-1,-3		4	1,2,3									100572	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2395	Pattern 4
Guhan	4/9/2019	Hayfever_allergic_rhinitis_or_eczema	BIN_FC10006152	9797	6152			12		10	-3		9	5,6,7,8,-7									100610	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	Need expert opinion on combination for cases/controls
Guhan	4/9/2019	Blood_clot_in_the_leg_(DVT)_or_lung	BIN_FC12006152	9797	6152			12		12	-3		5,7	5,6,8,9,-7									100610	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	Need expert opinion on combination for cases/controls
Guhan	4/9/2019	Blood_clot_in_the_leg_(DVT)	BIN_FC6006152	9797	6152			12		6	-3		5	6,7,8,9,-7									100610	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	Need expert opinion on combination for cases/controls
Guhan	4/9/2019	Emphysema_or_chronic_bronchitis	BIN_FC7006152	9797	6152			12		7	-3		6	5,7,8,9,-7									100610	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	Need expert opinion on combination for cases/controls
Guhan	4/9/2019	Blood_clot_in_the_lung	BIN_FC8006152	9797	6152			12		8	-3		7	5,6,8,9,-7									100610	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152	Need expert opinion on combination for cases/controls
