Annotator	Annotation date	Name	GBE ID	TableID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link
					PWA start time	12671									29192	Accruing	Text		Auxiliary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12671
					Heart rate during PWA	12673									29186	Accruing	Integer	bpm	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12673
					Systolic brachial blood pressure during PWA	12674									29010	Accruing	Integer	mmHg	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12674
					Diastolic brachial blood pressure during PWA	12675									29010	Accruing	Integer	mmHg	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12675
					Peripheral pulse pressure during PWA	12676									29006	Accruing	Integer	mmHg	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12676
					Central systolic blood pressure during PWA	12677									29009	Accruing	Integer	mmHg	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12677
					Central pulse pressure during PWA	12678									29006	Accruing	Integer	mmHg	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12678
					Number of beats in waveform average for PWA	12679									29191	Accruing	Continuous	beats	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12679
					Central augmentation pressure during PWA	12680									29001	Accruing	Continuous	mmHg	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12680
					Augmentation index for PWA	12681									29186	Accruing	Continuous	percent	Derived	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12681
					Cardiac output during PWA	12682									28488	Accruing	Continuous	litres/min	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12682
					End systolic pressure during PWA	12683									28936	Accruing	Continuous	mmHg	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12683
					End systolic pressure index during PWA	12684									28468	Accruing	Continuous		Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12684
					Total peripheral resistance during PWA	12685									28935	Accruing	Continuous	PRU	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12685
					Stroke volume during PWA	12686									28493	Accruing	Integer	ml	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12686
					Mean arterial pressure during PWA	12687									29009	Accruing	Integer	mmHg	Primary	Unisex	1	4		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12687
