Annotator	Annotation date	Name	GBE ID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link
Guhan	2019/11/15	Goat's cheese intake (Diet, 24hr recall, Online follow-up)	INI102900	Goat's cheese intake	102900	1	0	1			555;1;2;300			6774	Complete	Categorical single	Serving	Primary	Unisex	5	1	100003	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=102900
Guhan	2019/11/15	Whole egg intake (Diet, 24hr recall, Online follow-up)	INI102940	Whole egg intake	102940	1	0	1			555;1;2;300			52150	Complete	Categorical single	Number of eggs	Primary	Unisex	5	1	100003	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=102940
				Water percentage, buffer 300m	24505									441055	Complete	Continuous	percent	Derived	Unisex	2	1	9.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=24505
				Mean MD in pontine crossing tract on FA skeleton	25105									19395	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25105
				Source of report of B65 (schistosomiasis [bilharziasis])	130281									107	Ongoing	Categorical single	cm	Derived	Unisex	1	1	2171	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=130281
				Source of report of B66 (other fluke infections)	130283									5	Ongoing	Categorical single	cm	Derived	Unisex	1	1	2171	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=130283
Lab	20190327	E6_antigen_for_Human_Papillomavirus_type-16	INI23030	E6 antigen for Human Papillomavirus type-16	23030	1		1						9691	Accruing	Integer	cm	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23030
Lab	20190327	L1_antigen_for_Human_Papillomavirus_type-18	INI23032	L1 antigen for Human Papillomavirus type-18	23032	1		1						9691	Accruing	Integer		Primary	Unisex	2	1	8.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23032
Lab	20190327	E7_antigen_for_Human_Papillomavirus_type-16	INI23031	E7 antigen for Human Papillomavirus type-16	23031	1		1						9691	Accruing	Integer		Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23031
Lab	20190327	momp_D_antigen_for_Chlamydia_trachomatis	INI23033	momp D antigen for Chlamydia trachomatis	23033	1		1						9691	Accruing	Integer		Primary	Unisex	2	1	10.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23033
				Mean L2 in anterior limb of internal capsule on FA skeleton (right)	25264									19395	Accruing	Continuous	AU	Derived	Unisex	1	1	37.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25264
				Mean L2 in cerebral peduncle on FA skeleton (left)	25263									19395	Accruing	Continuous	AU	Derived	Unisex	1	1	37.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25263
Guhan	11/9/18	Brain_MRI_measuring_method	BIN_FC20012187	Brain MRI measuring method	12187		3		2	7		6	0	28874	Accruing	Categorical single	mmHg	Primary	Unisex	1	1	470	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=93
		Hair_colour_(natural,_before_greying)_red	BIN_FC2001747	Diastolic blood pressure, manual reading	1747	0	7		2			2	1;3;4;5;6	48756	Complete	Integer	mmHg	Primary	Unisex	4	2	100434	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100434
Guhan	11/9/18	12-lead_ECG_measuring_method	BIN_FC20012323	12-lead ECG measuring method	12323		3		2	7		6	0	29096	Accruing	Categorical single		Primary	Unisex	1	1	470	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12323
		3mm_asymmetry_index_for_irregular_astigmatism_level_(left)	BIN_FC1005155	Pulse rate, automated reading	5155	0	1	0	1	_	_	2,3	1	474848	Complete	Integer	bpm	Primary	Unisex	4	2	33	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=33
				Mean L1 in superior corona radiata on FA skeleton (right)	25224									19395	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25224
				Mean L1 in anterior corona radiata on FA skeleton (left)	25223									19395	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25223
				Mean L1 in anterior corona radiata on FA skeleton (right)	25222									19395	Accruing	Continuous	AU	Derived	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25222
Guhan	2019/11/15	Other bread intake (Diet, 24hr recall, Online follow-up)	INI101270	Other bread intake	101270	1	0	1			555;1;2;3;4;5;600			25944	Complete	Categorical single	Slice / Item	Primary	Unisex	5	1	100006	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=101270
	2017-Nov-10	Ever_prescribed_a_medication_for_unusual_or_psychotic_experiences	BIN20466	Ever prescribed a medication for unusual or psychotic experiences	20466	0	1		1	-121, -832		1	0	7803	Accruing	Categorical single		Primary	Unisex	1	1	502	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20466
	2017-Nov-10	Ever_heard_an_un-real_voice	BIN20463	Ever heard an un-real voice	20463	0	1		1	-121, -831		1	0	157366	Accruing	Categorical single		Primary	Unisex	1	1	502	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=20463
Matt	11/9/18	Heel_bone_mineral_density_(BMD)	INI3148	Heel bone mineral density (BMD)	3148	1		1						278970	Complete	Continuous	g/cm2	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3148
Lab	20190327	Vitamin_D	INI30890	Vitamin D	30890	1		1						449978	Accruing	Continuous	nmol/L	Primary	Unisex	2	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=30890
	8/27/17	Volume_of_grey_matter_in_Angular_Gyrus_(right)	INI25823	Volume of grey matter in Angular Gyrus (right)	25823	1		1						9931	Accruing	Continuous	mm3	Derived	Unisex	1	1	402.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25823
	8/27/17	Volume_of_grey_matter_in_Supramarginal_Gyrus,_posterior_division_(right)	INI25821	Volume of grey matter in Supramarginal Gyrus, posterior division (right)	25821	1		1						9931	Accruing	Continuous	mm3	Derived	Unisex	1	1	92.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=25821
