Annotator	Annotation date	Name	GBE ID	Field	BasketID	TableID	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link	Notes
Yosuke	11/9/18	Heel_ultrasound_method	BIN19	Heel ultrasound method		25279	19		1		1	6;7;3		1	2	324796	Complete	Categorical single		Primary	Unisex	1	1	100260	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=19	
				Weight method			21									500856	Complete	Categorical single		Primary	Unisex	4	1	100261	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21	
				Blood pressure device ID			36									498757	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=36	
				Blood pressure manual sphygmomanometer device ID			37									498757	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=37	
				Hand grip dynamometer device ID			38									497977	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=38	
				Height measure device ID			39									497977	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=39	
				Manual scales device ID			40									497977	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40	
				Seating box device ID			41									497977	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41	
				Spirometer device ID			42									497977	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=42	
				Impedance device ID			43									497977	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=43	
				Tape measure device ID			44									497977	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=44	
				Heel ultrasound device id			45									497977	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=45	
Guhan	11/26/18	Hand_grip_strength_(left)	INI46	Hand grip strength (left)		10137	46	1		1						499247	Complete	Integer	Kg	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=46	
Guhan	11/26/18	Hand_grip_strength_(right)	INI47	Hand grip strength (right)		10137	47	1		1						499320	Complete	Integer	Kg	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=47	
Guhan	11/26/18	Waist_circumference	INI48	Waist circumference		9797	48	1		1						500433	Complete	Continuous	cm	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=48	
Guhan	11/26/18	Hip_circumference	INI49	Hip circumference		9797	49	1		1						500371	Complete	Continuous	cm	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=49	
Guhan	11/26/18	Standing_height	INI50	Standing height		9797	50	1		1						500063	Complete	Continuous	cm	Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=50	
				Seated height			51									497179	Complete	Continuous	cm	Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=51	
Matt	11/9/18	Heel_bone_ultrasound_T-score,_manual_entry	INI77	Heel bone ultrasound T-score, manual entry		25279	77	1		1						42733	Complete	Continuous	Std.Devs	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=77	
Matt	11/9/18	Heel_bone_mineral_density_(BMD)_T-score,_automated	INI78	Heel bone mineral density (BMD) T-score, automated		25279	78	1		1						279110	Complete	Continuous	Std.Devs	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=78	
Guhan	11/26/18	Cancer_year/age_first_occurred	INI84	Cancer year/age first occurred		9797	84	1		1		-3;-1				44241	Complete	Integer		Primary	Unisex	3	6	37	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=84	
Guhan	11/26/18	Non-cancer_illness_year/age_first_occurred	INI87	Non-cancer illness year/age first occurred		9797	87	1		1		-3;-1				382348	Complete	Integer		Primary	Unisex	3	33	37	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=87	
				Operation year/age first occurred			92									398015	Complete	Integer		Primary	Unisex	4	32	37	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=92	
Guhan	11/26/18	Systolic_blood_pressure,_manual_reading	INI93	Systolic blood pressure, manual reading		9797	93	1		1						48260	Complete	Integer	mmHg	Primary	Unisex	3	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=93	
Guhan	11/26/18	Diastolic_blood_pressure,_manual_reading	INI94	Diastolic blood pressure, manual reading		9797	94	1		1						48260	Complete	Integer	mmHg	Primary	Unisex	3	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=94	
Guhan	11/26/18	Pulse_rate_(during_blood-pressure_measurement)	INI95	Pulse rate (during blood-pressure measurement)		9797	95	1		1						48260	Complete	Integer		Primary	Unisex	3	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=95	
				Time since interview start at which blood pressure screen(s) shown			96									501673	Complete	Integer	seconds	Auxiliary	Unisex	4	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=96	
Guhan	11/26/18	Pulse_rate,_automated_reading	INI102	Pulse rate, automated reading		9797	102	1		1						473871	Complete	Integer	bpm	Primary	Unisex	3	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=102	
				Birth weight known			120									501666	Complete	Categorical single		Primary	Unisex	3	1	100258	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=120	
Guhan	11/26/18	Number_of_self-reported_cancers	INI134	Number of self-reported cancers		9797	134	1		1						501693	Complete	Integer		Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=134	
Guhan	11/26/18	Number_of_self-reported_non-cancer_illnesses	INI135	Number of self-reported non-cancer illnesses		9797	135	1		1						501693	Complete	Integer		Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=135	
				Number of operations, self-reported			136									501673	Complete	Integer		Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=136	
Guhan	11/26/18	Number_of_treatments/medications_taken	INI137	Number of treatments/medications taken		9797	137	1		1						501693	Complete	Integer		Primary	Unisex	3	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=137	
		Townsend_deprivation_index_at_recruitment	INI189	Townsend deprivation index at recruitment		9797	189	1	0	1		-9				501993	Complete	Continuous	Data		Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=189	Townsend deprivation index calculated immediately prior to participant joining UK Biobank. Based on the preceding national census output areas. Each participant is assigned a score corresponding to the output area in which their postcode is located.
				Reason lost to follow-up			190									1298	Ongoing	Categorical single		Primary	Unisex	1	1	1965	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=190	
