GBE ID	gbe_name	coding	FieldID	TableID	codingLink	fieldLink	n_qt	n_bin	qt_index	bin_index	qt_exclude	qt_coding	bin_case	bin_control	note
BIN_FC10006154	Ranitidine_use_self-reported	100628	6154	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100628	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154		12		10	-3		4	-7	
BIN_FC10006155	Vitamin_D_vs_multivitamin	100629	6155	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100629	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6155		19		10	-3		4	7	
BIN_FC10006179	Zinc_supplements	100630	6179	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100630	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6179		12		10	-3		4	-7	
BIN_FC1001747	Hair_colour_(natural,_before_greying)_blonde	100434	1747	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=100434	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1747	0	7		1	-1;-3		1	2;3;4;5;6	
BIN_FC10020018	Prospective_memory_result	18	20018	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=18	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20018	1	2		1			0,2	1	
BIN_FC10020165	FI1_:_numeric_addition_test	5001	20165	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=5001	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20165	0	1		1			1;2;4;5	3	Already annotated
BIN_FC10020167	FI2_:_identify_largest_number	5002	20167	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=5002	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20167	0	1		1			1;2;4;5	3	Already annotated
BIN_FC10020169	FI3_:_word_interpolation	5003	20169	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=5003	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20169	0	1		1			1;2;3;5	4	Already annotated
BIN_FC10020171	FI4_:_positional_arithmetic	5004	20171	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=5004	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20171	0	1		1			1;3;4;5	2	Already annotated
BIN_FC10020173	FI5_:_family_relationship_calculation	5005	20173	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=5005	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20173	0	1		1			1;2;3;5	4	Already annotated
BIN_FC10020175	FI6_:_conditional_arithmetic	5006	20175	9797	http://biobank.ctsu.ox.ac.uk/crystal/coding.cgi?id=5006	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20175	0	1		1			1;3;4;5	2	Already annotated
