Annotator	Annotation date	Name	GBE ID	TableID	Field	FieldID	QT_total_num	BIN_total_num	QT_index	BIN_index	coding_exclude	coding_QT	coding_binary_case	coding_binary_control	Participants	Stability	ValueType	Units	Strata	Sexed	Instances	Array	Coding	Link	Notes
Guhan	11/9/2018	Brain_MRI_measurement_completed	BIN12188	25279	Brain MRI measurement completed	12188		1		1	-1		1	0	27581	Accruing	Categorical single		Primary	Unisex	1	1	21	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=12188	
Guhan	11/9/2018	Foot_measured_for_bone_density	BIN3081	25279	Foot measured for bone density	3081		1		1			1	2	321856	Complete	Categorical single		Primary	Unisex	1	1	24	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3081	Left is 1 (case), Right is 2 (control)
Guhan	11/9/2018	Fractured_heel_(left)	BIN4093	25279	Fractured heel (left)	4093		1		1	2		1	0	194408	Complete	Categorical single		Primary	Unisex	3	1	27	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4093	
Guhan	11/9/2018	Fractured_heel_(right)	BIN4096	25279	Fractured heel (right)	4096		1		1	2		1	0	194596	Complete	Categorical single		Primary	Unisex	3	1	27	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4096	
Guhan	11/9/2018	Number_of_weeks_(in_the_last_year)_at_work_suffering_because_of_IBS	INI21047	25279	Number of weeks (in the last year) at work suffering because of IBS	21047	1		1						8370	Accruing	Integer	weeks	Primary	Unisex	1	1	42	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21047	
Guhan	11/9/2018	Degree_bothered_by_back_pain_in_the_past_3_months	INI21048	25279	Degree bothered by back pain in the past 3 months	21048	1		1		-818	-600;-601;-602			174781	Accruing	Categorical single		Primary	Unisex	1	1	339	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21048	
Guhan	11/9/2018	Degree_bothered_by_chest_pain_in_the_past_3_months	INI21052	25279	Degree bothered by chest pain in the last 3 months	21052	1		1		-818	-600;-601;-603			174781	Accruing	Categorical single		Primary	Unisex	1	1	339	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21052	
Guhan	11/9/2018	Degree_bothered_by_dizziness_in_the_past_3_months	INI21053	25279	Degree bothered by dizziness in the last 3 months	21053	1		1		-818	-600;-601;-604			174781	Accruing	Categorical single		Primary	Unisex	1	1	339	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21053	
Guhan	11/9/2018	Degree_bothered_by_fainting_spells_in_the_past_3_months	INI21054	25279	Degree bothered by fainting spells in the last 3 months	21054	1		1		-818	-600;-601;-605			174781	Accruing	Categorical single		Primary	Unisex	1	1	339	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21054	
Guhan	11/9/2018	Degree_bothered_by_feeling_heart_pound/race_in_the_past_3_months	INI21055	25279	Degree bothered by feeling heart pound/race in the last 3 months	21055	1		1		-818	-600;-601;-606			174781	Accruing	Categorical single		Primary	Unisex	1	1	339	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21055	
