					Heel ultrasound method	19									324783	Complete	Categorical single		Primary	Unisex	1	1	100260.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=19	
					Weight method	21									500856	Complete	Categorical single		Primary	Unisex	4	1	100261.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21	
					Blood pressure device ID	36									498757	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=36	
					Blood pressure manual sphygmomanometer device ID	37									498757	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=37	
					Hand grip dynamometer device ID	38									497977	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=38	
					Height measure device ID	39									497977	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=39	
					Manual scales device ID	40									497977	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=40	
					Seating box device ID	41									497977	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=41	
					Spirometer device ID	42									497977	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=42	
					Impedance device ID	43									497977	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=43	
					Tape measure device ID	44									497977	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=44	
					Heel ultrasound device id	45									497977	Complete	Text		Auxiliary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=45	
					Hand grip strength (left)	46									499271	Complete	Integer	Kg	Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=46	
					Hand grip strength (right)	47									499343	Complete	Integer	Kg	Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=47	
					Waist circumference	48									500423	Complete	Continuous	cm	Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=48	
					Hip circumference	49									500361	Complete	Continuous	cm	Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=49	
					Standing height	50									500056	Complete	Continuous	cm	Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=50	
					Seated height	51									497179	Complete	Continuous	cm	Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=51	
					Heel bone ultrasound T-score, manual entry	77									42732	Complete	Continuous	Std.Devs	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=77	
					Heel bone mineral density (BMD) T-score, automated	78									279098	Complete	Continuous	Std.Devs	Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=78	
					Cancer year/age first occurred	84									45224	Complete	Integer		Primary	Unisex	4	6	37.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=84	
					Non-cancer illness year/age first occurred	87									384906	Complete	Integer		Primary	Unisex	4	34	37.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=87	
					Operation year/age first occurred	92									398015	Complete	Integer		Primary	Unisex	4	32	37.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=92	
					Systolic blood pressure, manual reading	93									48756	Complete	Integer	mmHg	Primary	Unisex	4	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=93	
					Diastolic blood pressure, manual reading	94									48756	Complete	Integer	mmHg	Primary	Unisex	4	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=94	
					Pulse rate (during blood-pressure measurement)	95									48756	Complete	Integer		Primary	Unisex	4	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=95	
					Time since interview start at which blood pressure screen(s) shown	96									501673	Complete	Integer	seconds	Auxiliary	Unisex	4	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=96	
					Pulse rate, automated reading	102									474848	Complete	Integer	bpm	Primary	Unisex	4	2		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=102	
					Birth weight known	120									501666	Complete	Categorical single		Primary	Unisex	3	1	100258.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=120	
					Number of self-reported cancers	134									501673	Complete	Integer		Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=134	
					Number of self-reported non-cancer illnesses	135									501673	Complete	Integer		Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=135	
					Number of operations, self-reported	136									501673	Complete	Integer		Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=136	
					Number of treatments/medications taken	137									501673	Complete	Integer		Primary	Unisex	4	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=137	
					Reason lost to follow-up	190									1298	Ongoing	Categorical single		Primary	Unisex	1	1	1965.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=190	
					Date lost to follow-up	191									1298	Ongoing	Date		Primary	Unisex	1	1		http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=191	
					Number of days/week walked 10+ minutes	864									501666	Complete	Integer	days/week	Primary	Unisex	4	1	100307.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=864	
					Duration of walks	874									479987	Complete	Integer	minutes/day	Primary	Unisex	4	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=874	
					Number of days/week of moderate physical activity 10+ minutes	884									501662	Complete	Integer	days/week	Primary	Unisex	4	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=884	
					Duration of moderate activity	894									417551	Complete	Integer	minutes/day	Primary	Unisex	4	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=894	
					Number of days/week of vigorous physical activity 10+ minutes	904									501662	Complete	Integer	days/week	Primary	Unisex	4	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=904	
					Duration of vigorous activity	914									303722	Complete	Integer	minutes/day	Primary	Unisex	4	1	100291.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=914	
					Usual walking pace	924									499768	Complete	Categorical single		Primary	Unisex	4	1	100313.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=924	
					Frequency of stair climbing in last 4 weeks	943									496884	Complete	Categorical single		Primary	Unisex	4	1	100314.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=943	
					Frequency of walking for pleasure in last 4 weeks	971									358981	Complete	Categorical single		Primary	Unisex	4	1	100317.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=971	
					Duration walking for pleasure	981									358981	Complete	Categorical single		Primary	Unisex	4	1	100318.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=981	
					Frequency of strenuous sports in last 4 weeks	991									53284	Complete	Categorical single		Primary	Unisex	4	1	100317.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=991	
					Duration of strenuous sports	1001									53284	Complete	Categorical single		Primary	Unisex	4	1	100318.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1001	
					Frequency of light DIY in last 4 weeks	1011									259693	Complete	Categorical single		Primary	Unisex	4	1	100317.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1011	
					Duration of light DIY	1021									259693	Complete	Categorical single		Primary	Unisex	4	1	100318.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1021	
					Frequency of friend/family visits	1031									498758	Complete	Categorical single		Primary	Unisex	4	1	100327.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1031	
					Time spend outdoors in summer	1050									498758	Complete	Integer	hours/day	Primary	Unisex	4	1	100329.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1050	
					Time spent outdoors in winter	1060									498758	Complete	Integer	hours/day	Primary	Unisex	4	1	100329.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1060	
					Time spent watching television (TV)	1070									501657	Complete	Integer	hours/day	Primary	Unisex	4	1	100329.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1070	
					Time spent using computer	1080									498756	Complete	Integer	hours/day	Primary	Unisex	4	1	100329.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1080	
					Time spent driving	1090									501441	Complete	Integer	hours/day	Primary	Unisex	4	1	100329.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1090	
					Drive faster than motorway speed limit	1100									501441	Complete	Categorical single		Primary	Unisex	4	1	100334.0	http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=1100	
