#GBE_ID	FIELD	GBE_NAME	N	n_GBE_IDs	n_uniq_Ns	AMS_URL	md5sum
BIN1518	1518	Drinks_hot_drinks_or_not	496164	2	1	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1518	6c568813a11d05df76af628a1e6a309a
INI1518	1518	Hot_drink_temperature	496164	2	1	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1518	80a61be61484542096c3e849aa931840
BIN1020483	20483	Ever_attempted_suicide_missing_is_control	3562	2	1	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20483	27c02f8b836238e2aaa917a71bd5107e
BIN20483	20483	Ever_attempted_suicide	3562	2	1	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20483	e8ff03a040a873ce0a66de36458090e4
BIN_FC50020488	20488	Very_Often_Physically_abused_by_family_as_a_child	914	5	4	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20488	f0e41d5356cceed23ab89cf6fd344a24
BIN_FC40020488	20488	Often_Physically_abused_by_family_as_a_child	1424	5	4	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20488	aa166aecbfdcb568c286e30daba0faa9
BIN_FC20020488	20488	Rarely_Physically_abused_by_family_as_a_child	10614	5	4	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20488	226a065fd2d2361d924878cf95362d2e
BIN_FC30020488	20488	Sometimes_Physically_abused_by_family_as_a_child	10614	5	4	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20488	aeba13dcb14100717fd6af659fe8a2bc
BIN_FC10020488	20488	Never_Physically_abused_by_family_as_a_child	127198	5	4	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20488	85c58d82546357ba03feafefb45a2186
BIN_FC10021057	21057	Degree_bothered_by_pain/problems_during_intercourse_in_the_last_3_months	22192	3	2	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=21057	4a0058f11043648dd796bd4eb643319d
QT_FC10021057	21057	Degree_bothered_by_pain/problems_during_intercourse_in_the_last_3_months	113709	3	2	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=21057	14b665d643bf8351fed901831fdc5d4d
QT_FC21057	21057	Degree_bothered_by_pain/problems_during_intercourse_in_the_last_3_months	113709	3	2	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=21057	14b665d643bf8351fed901831fdc5d4d
BIN_FC10022506	22506	Tobacco_smoking_current_vs_non	4797	3	2	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22506	77af3ed40d12d18d9ec1262aa137776e
BIN_FC20022506	22506	Tobacco_smoking_current_vs_past	4797	3	2	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22506	c969fbf96c872eef5c8a404c20b59cbf
BIN_FC30022506	22506	Tobacco_smoking_ever_vs_no	48805	3	2	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22506	aaead5981a5cd074cdcfd2a2ce05a17b
BIN_FC6002395	2395	Male_pattern_baldness_severity_4	42844	5	4	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2395	89022c13b1242ad66370be15f16a9f4d
BIN_FC1002395	2395	Male_pattern_baldness_severity	53048	5	4	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2395	f5e957e85d39f130f0a545a596173e2a
BIN_FC4002395	2395	Male_pattern_baldness_severity_2	53048	5	4	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2395	477fcb8eb14a888912e57d18329aab61
BIN_FC5002395	2395	Male_pattern_baldness_severity_3	62240	5	4	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2395	246eba2c431a2f9e1aae54339e98b994
QT_FC1002395	2395	Male_pattern_baldness_severity_quantitative	225374	5	4	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2395	6e7a76895b1177b31cb9fc8b9abf67ba
QT_FC10003476	3476	Difficulty_not_smoking_for_1_day	36252	2	1	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3476	055238c7365a7b51549c2f603ba4c518
QT_FC1003476	3476	Difficulty_not_smoking_for_1_day	36252	2	1	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3476	055238c7365a7b51549c2f603ba4c518
BIN_FC30003486	3486	Ever_tried_to_stop_smoking_succeeded_vs_no	14553	4	3	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3486	2e84647befc2b4aa2e55a25339011710
BIN_FC20003486	3486	Ever_tried_to_stop_smoking_failed_vs_no	18300	4	3	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3486	6b6d8c8ce90041b503458d82e471de2b
BIN_FC40003486	3486	Ever_tried_to_stop_smoking_failed_vs_succeeded	18300	4	3	https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3486	cff2f8214ca29208f08d05bfed4ea607
