#idx	phe_file	sumstats_file	n_lines	n_non-NA_lines
1	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030500.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/extras/adjusted_biomarkers/e_asian/ukb24983_v2_hg19.BIN10030500.genotyped.glm.logistic.hybrid.gz	784257	515538
2	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030510.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/extras/adjusted_biomarkers/e_asian/ukb24983_v2_hg19.BIN10030510.genotyped.glm.logistic.hybrid.gz	784257	515538
3	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030800.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/extras/adjusted_biomarkers/e_asian/ukb24983_v2_hg19.BIN10030800.genotyped.glm.logistic.hybrid.gz	784257	511526
4	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030820.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/extras/adjusted_biomarkers/e_asian/ukb24983_v2_hg19.BIN10030820.genotyped.glm.logistic.hybrid.gz	784257	515179
5	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/9797/phe/BIN1210.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/9796/9797/e_asian/ukb24983_v2_hg19.BIN1210.genotyped.glm.logistic.hybrid.gz	784257	509801
6	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2001702/25279/phe/BIN12188.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/2001702/25279/e_asian/ukb24983_v2_hg19.BIN12188.genotyped.glm.logistic.hybrid.gz	784257	381689
7	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1677.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/e_asian/ukb24983_v2_hg19.BIN1677.genotyped.glm.logistic.hybrid.gz	784257	500321
8	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2001702/25279/phe/BIN19.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/2001702/25279/e_asian/ukb24983_v2_hg19.BIN19.genotyped.glm.logistic.hybrid.gz	784257	481089
9	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1920.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/e_asian/ukb24983_v2_hg19.BIN1920.genotyped.glm.logistic.hybrid.gz	784257	512653
10	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1930.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/e_asian/ukb24983_v2_hg19.BIN1930.genotyped.glm.logistic.hybrid.gz	784257	513547
11	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1940.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/e_asian/ukb24983_v2_hg19.BIN1940.genotyped.glm.logistic.hybrid.gz	784257	508744
12	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1950.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/e_asian/ukb24983_v2_hg19.BIN1950.genotyped.glm.logistic.hybrid.gz	784257	511335
13	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1960.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/e_asian/ukb24983_v2_hg19.BIN1960.genotyped.glm.logistic.hybrid.gz	784257	512724
14	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1970.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/e_asian/ukb24983_v2_hg19.BIN1970.genotyped.glm.logistic.hybrid.gz	784257	512048
15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1980.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/e_asian/ukb24983_v2_hg19.BIN1980.genotyped.glm.logistic.hybrid.gz	784257	511949
16	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1990.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/e_asian/ukb24983_v2_hg19.BIN1990.genotyped.glm.logistic.hybrid.gz	784257	507363
17	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2000.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/e_asian/ukb24983_v2_hg19.BIN2000.genotyped.glm.logistic.hybrid.gz	784257	511968
18	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2010.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/e_asian/ukb24983_v2_hg19.BIN2010.genotyped.glm.logistic.hybrid.gz	784257	510196
19	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2020.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/e_asian/ukb24983_v2_hg19.BIN2020.genotyped.glm.logistic.hybrid.gz	784257	514212
20	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2030.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/e_asian/ukb24983_v2_hg19.BIN2030.genotyped.glm.logistic.hybrid.gz	784257	511698
21	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2040.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/e_asian/ukb24983_v2_hg19.BIN2040.genotyped.glm.logistic.hybrid.gz	784257	509323
22	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20401.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10483/24613/e_asian/ukb24983_v2_hg19.BIN20401.genotyped.glm.logistic.hybrid.gz	784257	432477
23	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20421.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10483/24613/e_asian/ukb24983_v2_hg19.BIN20421.genotyped.glm.logistic.hybrid.gz	784257	431431
24	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20425.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10483/24613/e_asian/ukb24983_v2_hg19.BIN20425.genotyped.glm.logistic.hybrid.gz	784257	424334
25	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20428.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10483/24613/e_asian/ukb24983_v2_hg19.BIN20428.genotyped.glm.logistic.hybrid.gz	784257	376146
26	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20435.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10483/24613/e_asian/ukb24983_v2_hg19.BIN20435.genotyped.glm.logistic.hybrid.gz	784257	401006
27	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20437.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10483/24613/e_asian/ukb24983_v2_hg19.BIN20437.genotyped.glm.logistic.hybrid.gz	784257	401305
28	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20441.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10483/24613/e_asian/ukb24983_v2_hg19.BIN20441.genotyped.glm.logistic.hybrid.gz	784257	433221
29	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20446.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10483/24613/e_asian/ukb24983_v2_hg19.BIN20446.genotyped.glm.logistic.hybrid.gz	784257	433111
