#idx	phe_file	sumstats_file	n_lines	n_non-NA_lines
1	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030500.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/extras/adjusted_biomarkers/s_asian/ukb24983_v2_hg19.BIN10030500.genotyped.glm.logistic.hybrid.gz	784257	715328
2	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030510.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/extras/adjusted_biomarkers/s_asian/ukb24983_v2_hg19.BIN10030510.genotyped.glm.logistic.hybrid.gz	784257	715328
3	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030800.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/extras/adjusted_biomarkers/s_asian/ukb24983_v2_hg19.BIN10030800.genotyped.glm.logistic.hybrid.gz	784257	714300
4	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030820.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/extras/adjusted_biomarkers/s_asian/ukb24983_v2_hg19.BIN10030820.genotyped.glm.logistic.hybrid.gz	784257	715260
5	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/10484/phe/BIN1020483.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10483/10484/s_asian/ukb24983_v2_hg19.BIN1020483.genotyped.glm.logistic.hybrid.gz	784257	716016
6	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/9797/phe/BIN1210.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/9796/9797/s_asian/ukb24983_v2_hg19.BIN1210.genotyped.glm.logistic.hybrid.gz	784257	714440
7	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2001702/25279/phe/BIN12188.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/2001702/25279/s_asian/ukb24983_v2_hg19.BIN12188.genotyped.glm.logistic.hybrid.gz	784257	647186
8	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1677.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/s_asian/ukb24983_v2_hg19.BIN1677.genotyped.glm.logistic.hybrid.gz	784257	713603
9	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2001702/25279/phe/BIN19.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/2001702/25279/s_asian/ukb24983_v2_hg19.BIN19.genotyped.glm.logistic.hybrid.gz	784257	702126
10	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1920.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/s_asian/ukb24983_v2_hg19.BIN1920.genotyped.glm.logistic.hybrid.gz	784257	714793
11	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1930.phe	/oak/stanford/groups/mrivas/ukbb24983/cal/gwas/10136/21731/s_asian/ukb24983_v2_hg19.BIN1930.genotyped.glm.logistic.hybrid.gz	784257	714871
