#idx	phe_file	sumstats_file	n_lines	n_non-NA_lines
1	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030500.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/extras/adjusted_biomarkers/white_british/ukb24983_v2_hg38.BIN10030500.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6518081
2	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030510.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/extras/adjusted_biomarkers/white_british/ukb24983_v2_hg38.BIN10030510.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6518081
3	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030800.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/extras/adjusted_biomarkers/white_british/ukb24983_v2_hg38.BIN10030800.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6188009
4	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030820.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/extras/adjusted_biomarkers/white_british/ukb24983_v2_hg38.BIN10030820.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6422409
5	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/10484/phe/BIN1020483.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/10483/10484/white_british/ukb24983_v2_hg38.BIN1020483.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6635286
6	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/9797/phe/BIN1210.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/9796/9797/white_british/ukb24983_v2_hg38.BIN1210.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6440365
7	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2001702/25279/phe/BIN12139.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/2001702/25279/white_british/ukb24983_v2_hg38.BIN12139.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	3305239
8	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2001702/25279/phe/BIN12188.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/2001702/25279/white_british/ukb24983_v2_hg38.BIN12188.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	3176899
9	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1677.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/10136/21731/white_british/ukb24983_v2_hg38.BIN1677.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	5869946
10	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/2001702/25279/phe/BIN19.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/2001702/25279/white_british/ukb24983_v2_hg38.BIN19.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	2521903
11	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1920.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/10136/21731/white_british/ukb24983_v2_hg38.BIN1920.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6585654
12	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1930.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/10136/21731/white_british/ukb24983_v2_hg38.BIN1930.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6598626
13	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1940.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/10136/21731/white_british/ukb24983_v2_hg38.BIN1940.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6528437
14	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1950.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/10136/21731/white_british/ukb24983_v2_hg38.BIN1950.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6568601
15	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1960.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/10136/21731/white_british/ukb24983_v2_hg38.BIN1960.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6591727
16	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1970.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/10136/21731/white_british/ukb24983_v2_hg38.BIN1970.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6574537
17	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1980.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/10136/21731/white_british/ukb24983_v2_hg38.BIN1980.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6575115
18	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1990.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/10136/21731/white_british/ukb24983_v2_hg38.BIN1990.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6567135
19	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2000.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/10136/21731/white_british/ukb24983_v2_hg38.BIN2000.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6535956
20	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2010.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/10136/21731/white_british/ukb24983_v2_hg38.BIN2010.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6545765
21	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2020.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/10136/21731/white_british/ukb24983_v2_hg38.BIN2020.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6600236
22	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2030.phe	/oak/stanford/groups/mrivas/ukbb24983/exome/gwas/10136/21731/white_british/ukb24983_v2_hg38.BIN2030.exome-spb.PHENO1.glm.logistic.hybrid.gz	10191471	6576046
