#GBE_ID	GBE_NAME	FIELD	TABLE	BASKET	APP_ID	N	N_GBE	N_NBW	N_AFR	N_EAS	N_SAS	N_SMR	N_OTH	SOURCE	DATE	PATH
BIN100020	Typical_diet_yesterday	100020	37855	2005693	24983	29529	20768	1617	374	70	389	0	1741	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100020.phe
BIN100240	Coffee_consumed	100240	37855	2005693	24983	24471	17535	1326	186	45	221	0	1394	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100240.phe
BIN100260	Added_milk_to_instant_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	100260	37855	2005693	24983	15212	11054	613	115	29	152	0	769	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100260.phe
BIN100280	Added_milk_to_filtered_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	100280	37855	2005693	24983	6204	4481	400	19	10	26	0	366	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100280.phe
BIN10030500	Microalbumin_higher_than_40_mg/L	NA	NA	NA	24983	3616	2376	182	133	11	103	0	239	nasa	2020-06-17	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030500.phe
BIN10030800	Oestradiol_higher_than_212_pmol/L	NA	NA	NA	24983	6165	3957	444	179	19	137	0	495	nasa	2020-06-17	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030800.phe
BIN10030820	Rheumatoid_factor_higher_than_16_IU/mL	NA	NA	NA	24983	2424	1695	113	44	2	40	0	141	nasa	2020-06-17	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030820.phe
BIN100320	Added_milk_to_espresso_always_(Diet,_24hr_recall,_Online_follow-up)	100320	37855	2005693	24983	343	240	39	1	0	3	0	27	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100320.phe
BIN100350	Added_milk_to_other_coffee_type_always_(Diet,_24hr_recall,_Online_follow-up)	100350	37855	2005693	24983	349	230	18	6	3	8	0	29	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100350.phe
BIN100360	Decaffeinated_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	100360	37855	2005693	24983	4627	3383	194	45	8	31	0	239	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100360.phe
BIN100390	Tea_consumed	100390	37855	2005693	24983	27082	19044	1453	311	70	371	0	1591	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100390.phe
BIN100460	Added_milk_to_standard_tea_always_(Diet,_24hr_recall,_Online_follow-up)	100460	37855	2005693	24983	22199	15861	1048	192	52	328	0	1198	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100460.phe
BIN100470	Decaffeinated_tea_always_(Diet,_24hr_recall,_Online_follow-up)	100470	37855	2005693	24983	2194	1604	75	29	2	27	0	141	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100470.phe
BIN100480	Added_milk_to_rooibos_tea_always_(Diet,_24hr_recall,_Online_follow-up)	100480	37855	2005693	24983	872	604	58	12	3	4	0	53	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100480.phe
BIN100510	Other_non-alcoholic_drinks	100510	37855	2005693	24983	7091	5031	353	105	18	85	0	389	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100510.phe
BIN100580	Alcohol_consumed	100580	37855	2005693	24983	20065	14495	1065	154	26	122	0	1096	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100580.phe
BIN100760	Breakfast_cereal_consumed	100760	37855	2005693	24983	24082	17312	1191	233	44	255	0	1297	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100760.phe
BIN100880	Dried_fruit_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	100880	37855	2005693	24983	12418	8988	628	94	29	104	0	659	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100880.phe
BIN100890	Milk_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	100890	37855	2005693	24983	21056	15207	998	182	36	227	0	1103	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100890.phe
BIN100940	Bread_consumed	100940	37855	2005693	24983	29831	21042	1619	343	66	375	0	1747	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100940.phe
BIN101300	Butter/margarine_on_bread/crackers	101300	37855	2005693	24983	24563	17556	1223	242	46	268	0	1404	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN101300.phe
BIN1020483	Ever_attempted_suicide_missing_is_control	20483	37855	2005693	24983	571	401	35	6	0	8	0	33	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN1020483.phe
BIN102080	Yogurt/ice-cream_consumers	102080	37855	2005693	24983	18254	12948	1010	179	29	203	0	1038	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102080.phe
BIN102130	Dessert_consumers	102130	37855	2005693	24983	16513	11827	844	168	39	146	0	928	ukb_annotations.tsv	2020-06-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102130.phe
