#GBE_ID	GBE_NAME	FIELD	TABLE	BASKET	APP_ID	N	N_GBE	N_NBW	N_AFR	N_EAS	N_SAS	SOURCE	DATE	PATH
BIN100020	Typical_diet_yesterday	100020	37855	2005693	24983	192965	133749	10428	1857	409	2137	ukb_annotations.tsv	2020-03-20	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100020.phe
BIN100240	Coffee_consumed	100240	37855	2005693	24983	161624	113692	8834	962	276	1117	ukb_annotations.tsv	2020-03-22	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100240.phe
BIN100260	Added_milk_to_instant_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	100260	37855	2005693	24983	97522	69809	3992	606	169	737	ukb_annotations.tsv	2020-03-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100260.phe
BIN100280	Added_milk_to_filtered_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	100280	37855	2005693	24983	42917	30404	2748	96	61	173	ukb_annotations.tsv	2020-03-19	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100280.phe
BIN100320	Added_milk_to_espresso_always_(Diet,_24hr_recall,_Online_follow-up)	100320	37855	2005693	24983	2344	1503	309	14	2	10	ukb_annotations.tsv	2020-03-20	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100320.phe
BIN100350	Added_milk_to_other_coffee_type_always_(Diet,_24hr_recall,_Online_follow-up)	100350	37855	2005693	24983	2288	1500	141	51	6	43	ukb_annotations.tsv	2020-03-23	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100350.phe
BIN100360	Decaffeinated_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	100360	37855	2005693	24983	29435	21195	1148	218	39	156	ukb_annotations.tsv	2020-03-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100360.phe
BIN100390	Tea_consumed	100390	37855	2005693	24983	176271	122409	9390	1481	385	2038	ukb_annotations.tsv	2020-03-19	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100390.phe
BIN100460	Added_milk_to_standard_tea_always_(Diet,_24hr_recall,_Online_follow-up)	100460	37855	2005693	24983	142176	100086	6627	978	283	1800	ukb_annotations.tsv	2020-03-21	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100460.phe
BIN100470	Decaffeinated_tea_always_(Diet,_24hr_recall,_Online_follow-up)	100470	37855	2005693	24983	13336	9476	519	164	23	126	ukb_annotations.tsv	2020-03-21	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100470.phe
BIN100480	Added_milk_to_rooibos_tea_always_(Diet,_24hr_recall,_Online_follow-up)	100480	37855	2005693	24983	5509	3728	406	67	10	23	ukb_annotations.tsv	2020-03-18	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100480.phe
BIN100510	Other_non-alcoholic_drinks	100510	37855	2005693	24983	44916	31298	2221	542	111	519	ukb_annotations.tsv	2020-03-20	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100510.phe
BIN100580	Alcohol_consumed	100580	37855	2005693	24983	131864	93628	7199	723	158	706	ukb_annotations.tsv	2020-03-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100580.phe
BIN100760	Breakfast_cereal_consumed	100760	37855	2005693	24983	155883	110270	7608	1096	248	1373	ukb_annotations.tsv	2020-03-19	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100760.phe
BIN100880	Dried_fruit_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	100880	37855	2005693	24983	81497	57830	4253	440	141	648	ukb_annotations.tsv	2020-03-22	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100880.phe
BIN100890	Milk_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	100890	37855	2005693	24983	136017	96686	6320	916	195	1227	ukb_annotations.tsv	2020-03-22	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100890.phe
BIN100940	Bread_consumed	100940	37855	2005693	24983	194939	135663	10582	1675	376	1973	ukb_annotations.tsv	2020-03-19	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN100940.phe
BIN101300	Butter/margarine_on_bread/crackers	101300	37855	2005693	24983	161207	113634	8085	1188	264	1417	ukb_annotations.tsv	2020-03-23	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN101300.phe
BIN1020483	Ever_attempted_suicide_missing_is_control	20483	37855	2005693	24983	3562	2433	222	29	5	26	ukb_annotations.tsv	2020-03-20	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN1020483.phe
BIN102080	Yogurt/ice-cream_consumers	102080	37855	2005693	24983	119323	83781	6509	757	192	1101	ukb_annotations.tsv	2020-03-20	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102080.phe
BIN102130	Dessert_consumers	102130	37855	2005693	24983	108463	76823	5352	685	211	831	ukb_annotations.tsv	2020-03-22	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102130.phe
BIN102250	Sweet_snack_consumers	102250	37855	2005693	24983	148526	104027	7778	1108	254	1373	ukb_annotations.tsv	2020-03-22	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102250.phe
BIN102400	Savoury_snack_consumers	102400	37855	2005693	24983	108966	75246	6079	899	274	1303	ukb_annotations.tsv	2020-03-18	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102400.phe
BIN102520	Soup_consumers	102520	37855	2005693	24983	59122	40777	3705	493	188	412	ukb_annotations.tsv	2020-03-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102520.phe
BIN102700	Starchy_food_consumers	102700	37855	2005693	24983	94993	63995	5910	1277	374	1291	ukb_annotations.tsv	2020-03-20	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102700.phe
BIN102800	Cheese_consumers	102800	37855	2005693	24983	128372	90021	7518	657	172	867	ukb_annotations.tsv	2020-03-16	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102800.phe
BIN102930	Egg_consumers	102930	37855	2005693	24983	77974	53831	4446	664	228	744	ukb_annotations.tsv	2020-03-21	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN102930.phe
BIN103000	Meat_consumers	103000	37855	2005693	24983	172674	120753	9099	1552	402	1272	ukb_annotations.tsv	2020-03-23	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN103000.phe
BIN103120	Fat_removed_from_meat_always_(Diet,_24hr_recall,_Online_follow-up)	103120	37855	2005693	24983	82648	58475	4015	577	179	479	ukb_annotations.tsv	2020-03-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN103120.phe
BIN103130	Skin_removed_from_poultry_always_(Diet,_24hr_recall,_Online_follow-up)	103130	37855	2005693	24983	76412	53414	3924	654	172	720	ukb_annotations.tsv	2020-03-18	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN103130.phe
BIN103140	Fish_consumer	103140	37855	2005693	24983	97770	67961	5460	911	270	740	ukb_annotations.tsv	2020-03-19	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN103140.phe
BIN103990	Vegetable_consumers	103990	37855	2005693	24983	193581	134483	10513	1634	426	2055	ukb_annotations.tsv	2020-03-22	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN103990.phe
BIN104040	Butter/margarine_added_to_potatoes	104040	37855	2005693	24983	16702	12036	778	70	6	80	ukb_annotations.tsv	2020-03-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN104040.phe
BIN104400	Fruit_consumers	104400	37855	2005693	24983	186746	129412	10316	1672	418	2054	ukb_annotations.tsv	2020-03-21	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN104400.phe
BIN104670	Vitamin_supplement_user	104670	37855	2005693	24983	103848	71951	5903	994	236	1075	ukb_annotations.tsv	2020-03-17	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2005693/37855/phe/BIN104670.phe
BIN1210	Snoring	1210	40831	2007183	24983	179358	121976	8244	2011	391	2944	ukb_annotations.tsv	2020-03-23	/oak/stanford/groups/mrivas/private_data/ukbb/24983/phenotypedata/2007183/40831/phe/BIN1210.phe
