GBE_category	GBE_ID	GBE_N	GBE_NAME	GBE_short_name	GBE_short_name_len	Units_of_measurement
BIN	BIN100020	133749	Typical_diet_yesterday	Typical diet yesterday	22	
BIN	BIN100240	113692	Coffee_consumed	Coffee consumed	15	
BIN	BIN100260	69809	Added_milk_to_instant_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to instant coffee always (Diet, 24hr recall, Online follow-up)	73	
BIN	BIN100280	30404	Added_milk_to_filtered_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to filtered coffee always (Diet, 24hr recall, Online follow-up)	74	
BIN	BIN10030500	23590	Microalbumin_higher_than_40_mg/L	Microalbumin > 40 mg/L	22	
BIN	BIN10030800	38696	Oestradiol_higher_than_212_pmol/L	Oestradiol > 212 pmol/L	23	
BIN	BIN10030820	16700	Rheumatoid_factor_higher_than_16_IU/mL	Rheumatoid factor > 16 IU/mL	28	
BIN	BIN100320	1503	Added_milk_to_espresso_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to espresso always (Diet, 24hr recall, Online follow-up)	67	
BIN	BIN100350	1500	Added_milk_to_other_coffee_type_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to other coffee type always (Diet, 24hr recall, Online follow-up)	76	
BIN	BIN100360	21195	Decaffeinated_coffee_always_(Diet,_24hr_recall,_Online_follow-up)	Decaffeinated coffee always (Diet, 24hr recall, Online follow-up)	65	
BIN	BIN100390	122409	Tea_consumed	Tea consumed	12	
BIN	BIN100460	100086	Added_milk_to_standard_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to standard tea always (Diet, 24hr recall, Online follow-up)	71	
BIN	BIN100470	9476	Decaffeinated_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Decaffeinated tea always (Diet, 24hr recall, Online follow-up)	62	
BIN	BIN100480	3728	Added_milk_to_rooibos_tea_always_(Diet,_24hr_recall,_Online_follow-up)	Added milk to rooibos tea always (Diet, 24hr recall, Online follow-up)	70	
BIN	BIN100510	31298	Other_non-alcoholic_drinks	Other non-alcoholic drinks	26	
BIN	BIN100580	93628	Alcohol_consumed	Alcohol consumed	16	
BIN	BIN100760	110270	Breakfast_cereal_consumed	Breakfast cereal consumed	25	
BIN	BIN100880	57830	Dried_fruit_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	Dried fruit added to cereal always (Diet, 24hr recall, Online follow-up)	72	
BIN	BIN100890	96686	Milk_added_to_cereal_always_(Diet,_24hr_recall,_Online_follow-up)	Milk added to cereal always (Diet, 24hr recall, Online follow-up)	65	
BIN	BIN100940	135663	Bread_consumed	Bread consumed	14	
BIN	BIN101300	113634	Butter/margarine_on_bread/crackers	Butter/margarine on bread/crackers	34	
BIN	BIN1020483	2433	Ever_attempted_suicide_missing_is_control	Ever attempted suicide missing is control	41	
BIN	BIN102080	83781	Yogurt/ice-cream_consumers	Yogurt/ice-cream consumers	26	
BIN	BIN102130	76823	Dessert_consumers	Dessert consumers	17	
BIN	BIN102250	104027	Sweet_snack_consumers	Sweet snack consumers	21	
BIN	BIN102400	75246	Savoury_snack_consumers	Savoury snack consumers	23	
BIN	BIN102520	40777	Soup_consumers	Soup consumers	14	
BIN	BIN102700	63995	Starchy_food_consumers	Starchy food consumers	22	
BIN	BIN102800	90021	Cheese_consumers	Cheese consumers	16	
BIN	BIN102930	53831	Egg_consumers	Egg consumers	13	
BIN	BIN103000	120753	Meat_consumers	Meat consumers	14	
BIN	BIN103120	58475	Fat_removed_from_meat_always_(Diet,_24hr_recall,_Online_follow-up)	Fat removed from meat always (Diet, 24hr recall, Online follow-up)	66	
BIN	BIN103130	53414	Skin_removed_from_poultry_always_(Diet,_24hr_recall,_Online_follow-up)	Skin removed from poultry always (Diet, 24hr recall, Online follow-up)	70	
BIN	BIN103140	67961	Fish_consumer	Fish consumer	13	
BIN	BIN103990	134483	Vegetable_consumers	Vegetable consumers	19	
BIN	BIN104040	12036	Butter/margarine_added_to_potatoes	Butter/margarine added to potatoes	34	
BIN	BIN104400	129412	Fruit_consumers	Fruit consumers	15	
BIN	BIN104670	71951	Vitamin_supplement_user	Vitamin supplement user	23	
BIN	BIN1210	121976	Snoring	Snoring	7	
BIN	BIN12139	472	Believed_safe_to_perform_brain_MRI_scan	Believed safe to perform brain MRI scan	39	
BIN	BIN12188	26331	Brain_MRI_measurement_completed	Brain MRI measurement completed	31	
BIN	BIN1518	333807	Drinks_hot_drinks_or_not	Drinks hot drinks or not	24	
BIN	BIN1618	124055	Alcohol_usually_taken_with_meals	Alcohol usually taken with meals	32	
BIN	BIN1677	182993	Breastfed_as_a_baby	Breastfed as a baby	19	
BIN	BIN19	194372	Heel_ultrasound_method	Heel ultrasound method	22	
BIN	BIN1920	152281	Mood_swings	Mood swings	11	
BIN	BIN1930	145186	Miserableness	Miserableness	13	
BIN	BIN1940	93499	Irritability	Irritability	12	
BIN	BIN1950	185579	Sensitivity_/_hurt_feelings	Sensitivity / hurt feelings	27	
BIN	BIN1960	137983	Fed-up_feelings	Fed-up feelings	15	
BIN	BIN1970	80130	Nervous_feelings	Nervous feelings	16	
BIN	BIN1980	189905	Worrier_/_anxious_feelings	Worrier / anxious feelings	26	
BIN	BIN1990	57924	Tense_/_'highly_strung'	Tense / 'highly strung'	23	
BIN	BIN2000	159129	Worry_too_long_after_embarrassment	Worry too long after embarrassment	34	
BIN	BIN2010	71815	Suffer_from_'nerves'	Suffer from 'nerves'	20	
BIN	BIN20123	6685	Single_episode_of_probable_major_depression	Single episode of probable major depression	43	
BIN	BIN20124	10304	Probable_recurrent_major_depression_(moderate)	Probable recurrent major depression (moderate)	46	
BIN	BIN20125	6081	Probable_recurrent_major_depression_(severe)	Probable recurrent major depression (severe)	44	
BIN	BIN2020	61278	Loneliness,_isolation	Loneliness, isolation	21	
BIN	BIN2030	96693	Guilty_feelings	Guilty feelings	15	
BIN	BIN2040	85684	Risk_taking	Risk taking	11	
BIN	BIN20401	6375	Ever_addicted_to_any_substance_or_behaviour	Ever addicted to any substance or behaviour	43	
BIN	BIN20404	658	Ever_physically_dependent_on_alcohol	Ever physically dependent on alcohol	36	
BIN	BIN20406	2510	Ever_addicted_to_alcohol	Ever addicted to alcohol	24	
BIN	BIN20415	1081	Ongoing_addiction_to_alcohol	Ongoing addiction to alcohol	28	
BIN	BIN20417	12041	Tense,_sore,_or_aching_muscles_during_worst_period_of_anxiety	Tense, sore, or aching muscles during worst period of anxiety	61	
BIN	BIN20419	24544	Difficulty_concentrating_during_worst_period_of_anxiety	Difficulty concentrating during worst period of anxiety	55	
BIN	BIN20421	27254	Ever_felt_worried,_tense,_or_anxious_for_most_of_a_month_or_longer	Ever felt worried, tense, or anxious for most of a month or longer	66	
BIN	BIN20422	22331	More_irritable_than_usual_during_worst_period_of_anxiety	More irritable than usual during worst period of anxiety	56	
BIN	BIN20423	25899	Keyed_up_or_on_edge_during_worst_period_of_anxiety	Keyed up or on edge during worst period of anxiety	50	
BIN	BIN20425	23817	Ever_worried_more_than_most_people_would_in_similar_situation	Ever worried more than most people would in similar situation	61	
BIN	BIN20426	18911	Restless_during_period_of_worst_anxiety	Restless during period of worst anxiety	39	
BIN	BIN20427	27100	Frequent_trouble_falling_or_staying_asleep_during_worst_period_of_anxiety	Frequent trouble falling or staying asleep during worst period of anxiety	73	
BIN	BIN20428	20677	Professional_informed_about_anxiety	Professional informed about anxiety	35	
BIN	BIN20429	22830	Easily_tired_during_worst_period_of_anxiety	Easily tired during worst period of anxiety	43	
BIN	BIN20431	1474	Ever_addicted_to_a_behaviour_or_miscellanous	Ever addicted to a behaviour or miscellanous	44	
BIN	BIN20432	698	Ongoing_behavioural_or_miscellanous_addiction	Ongoing behavioural or miscellanous addiction	45	
BIN	BIN20435	43068	Difficulty_concentrating_during_worst_depression	Difficulty concentrating during worst depression	48	
