#FieldID	Field	Category	UKBCategoryTreePath
3	Verbal interview duration	Procedural metrics	UK Biobank Assessment Centre > Procedural metrics > Process durations
4	Biometrics duration	Procedural metrics	UK Biobank Assessment Centre > Procedural metrics > Process durations
5	Sample collection duration	Procedural metrics	UK Biobank Assessment Centre > Procedural metrics > Process durations
6	Conclusion duration	Procedural metrics	UK Biobank Assessment Centre > Procedural metrics > Process durations
19	Heel ultrasound method	Bone-densitometry of heel	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
21	Weight method	Anthropometry	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
23	Spirometry method	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
31	Sex	Population characteristics	Population characteristics > Baseline characteristics
33	Date of birth	Population characteristics	Population characteristics > Baseline characteristics
34	Year of birth	Population characteristics	Population characteristics > Baseline characteristics
35	Was blood sampling attempted	Biological sampling	UK Biobank Assessment Centre > Biological sampling > Blood sample collection
36	Blood pressure device ID	Blood pressure	UK Biobank Assessment Centre > Physical measures > Blood pressure
37	Blood pressure manual sphygmomanometer device ID	Blood pressure	UK Biobank Assessment Centre > Physical measures > Blood pressure
38	Hand grip dynamometer device ID	Hand grip strength	UK Biobank Assessment Centre > Physical measures > Hand grip strength
39	Height measure device ID	Anthropometry	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
40	Manual scales device ID	Anthropometry	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
41	Seating box device ID	Anthropometry	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
42	Spirometer device ID	Spirometry	UK Biobank Assessment Centre > Physical measures > Spirometry
43	Impedance device ID	Anthropometry	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
44	Tape measure device ID	Anthropometry	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
45	Heel ultrasound device id	Bone-densitometry of heel	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
46	Hand grip strength (left)	Hand grip strength	UK Biobank Assessment Centre > Physical measures > Hand grip strength
47	Hand grip strength (right)	Hand grip strength	UK Biobank Assessment Centre > Physical measures > Hand grip strength
48	Waist circumference	Anthropometry	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
49	Hip circumference	Anthropometry	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
50	Standing height	Anthropometry	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
51	Seated height	Anthropometry	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
52	Month of birth	Population characteristics	Population characteristics > Baseline characteristics
53	Date of attending assessment centre	Recruitment	UK Biobank Assessment Centre > Recruitment > Reception
54	UK Biobank assessment centre	Recruitment	UK Biobank Assessment Centre > Recruitment > Reception
55	Month of attending assessment centre	Recruitment	UK Biobank Assessment Centre > Recruitment > Reception
62	Willing to attempt cognitive tests	Procedural metrics	UK Biobank Assessment Centre > Procedural metrics
68	Number of blood samples taken	Biological sampling	UK Biobank Assessment Centre > Biological sampling > Blood sample collection
74	Fasting time	Biological sampling	UK Biobank Assessment Centre > Biological sampling > Blood sample collection
77	Heel bone ultrasound T-score, manual entry	Bone-densitometry of heel	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
78	Heel bone mineral density (BMD) T-score, automated	Bone-densitometry of heel	UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel
84	Cancer year/age first occurred	Medical conditions	UK Biobank Assessment Centre > Verbal interview > Medical conditions
87	Non-cancer illness year/age first occurred	Medical conditions	UK Biobank Assessment Centre > Verbal interview > Medical conditions
92	Operation year/age first occurred	Operations	UK Biobank Assessment Centre > Verbal interview > Operations
93	Systolic blood pressure, manual reading	Blood pressure	UK Biobank Assessment Centre > Physical measures > Blood pressure
94	Diastolic blood pressure, manual reading	Blood pressure	UK Biobank Assessment Centre > Physical measures > Blood pressure
95	Pulse rate (during blood-pressure measurement)	Blood pressure	UK Biobank Assessment Centre > Physical measures > Blood pressure
96	Time since interview start at which blood pressure screen(s) shown	Blood pressure	UK Biobank Assessment Centre > Physical measures > Blood pressure
102	Pulse rate, automated reading	Blood pressure	UK Biobank Assessment Centre > Physical measures > Blood pressure
111	Aide-memoire completed	Procedural metrics	UK Biobank Assessment Centre > Procedural metrics
120	Birth weight known	Early life factors	UK Biobank Assessment Centre > Verbal interview > Early life factors
129	Place of birth in UK - north co-ordinate	Early life factors	UK Biobank Assessment Centre > Verbal interview > Early life factors
130	Place of birth in UK - east co-ordinate	Early life factors	UK Biobank Assessment Centre > Verbal interview > Early life factors
132	Job code at visit - entered	Employment	UK Biobank Assessment Centre > Verbal interview > Employment
134	Number of self-reported cancers	Medical conditions	UK Biobank Assessment Centre > Verbal interview > Medical conditions
135	Number of self-reported non-cancer illnesses	Medical conditions	UK Biobank Assessment Centre > Verbal interview > Medical conditions
136	Number of operations, self-reported	Operations	UK Biobank Assessment Centre > Verbal interview > Operations
137	Number of treatments/medications taken	Medications	UK Biobank Assessment Centre > Verbal interview > Medications
189	Townsend deprivation index at recruitment	Population characteristics	Population characteristics > Baseline characteristics
190	Reason lost to follow-up	Population characteristics	Population characteristics > Ongoing characteristics
191	Date lost to follow-up	Population characteristics	Population characteristics > Ongoing characteristics
200	Date of consenting to join UK Biobank	Recruitment	UK Biobank Assessment Centre > Recruitment > Consent
393	Program (tactus) version ID (compiler timestamp)	Recruitment	UK Biobank Assessment Centre > Recruitment > Consent
396	Number of columns displayed in round	Cognitive function	UK Biobank Assessment Centre > Cognitive function > Pairs matching
397	Number of rows displayed in round	Cognitive function	UK Biobank Assessment Centre > Cognitive function > Pairs matching
398	Number of correct matches in round	Cognitive function	UK Biobank Assessment Centre > Cognitive function > Pairs matching
399	Number of incorrect matches in round	Cognitive function	UK Biobank Assessment Centre > Cognitive function > Pairs matching
400	Time to complete round	Cognitive function	UK Biobank Assessment Centre > Cognitive function > Pairs matching
401	Index for card A in round	Cognitive function	UK Biobank Assessment Centre > Cognitive function > Reaction time
402	Index for card B in round	Cognitive function	UK Biobank Assessment Centre > Cognitive function > Reaction time
403	Number of times snap-button pressed	Cognitive function	UK Biobank Assessment Centre > Cognitive function > Reaction time
404	Duration to first press of snap-button in each round	Cognitive function	UK Biobank Assessment Centre > Cognitive function > Reaction time
630	Touchscreen duration	Procedural metrics	UK Biobank Assessment Centre > Procedural metrics > Process durations
670	Type of accommodation lived in	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household
680	Own or rent accommodation lived in	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household
699	Length of time at current address	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household
709	Number in household	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household
728	Number of vehicles in household	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household
738	Average total household income before tax	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household
757	Time employed in main current job	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment
767	Length of working week for main job	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment
777	Frequency of travelling from home to job workplace	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment
796	Distance between home and job workplace	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment
806	Job involves mainly walking or standing	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment
816	Job involves heavy manual or physical work	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment
826	Job involves shift work	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment
845	Age completed full time education	Sociodemographics	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education
864	Number of days/week walked 10+ minutes	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
874	Duration of walks	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
884	Number of days/week of moderate physical activity 10+ minutes	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
894	Duration of moderate activity	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
904	Number of days/week of vigorous physical activity 10+ minutes	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
914	Duration of vigorous activity	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
924	Usual walking pace	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
943	Frequency of stair climbing in last 4 weeks	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
971	Frequency of walking for pleasure in last 4 weeks	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
981	Duration walking for pleasure	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
991	Frequency of strenuous sports in last 4 weeks	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
1001	Duration of strenuous sports	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
1011	Frequency of light DIY in last 4 weeks	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
1021	Duration of light DIY	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
1031	Frequency of friend/family visits	Psychosocial factors	UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Social support
1050	Time spend outdoors in summer	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
1060	Time spent outdoors in winter	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
1070	Time spent watching television (TV)	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
1080	Time spent using computer	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
1090	Time spent driving	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
1100	Drive faster than motorway speed limit	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
1110	Length of mobile phone use	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use
1120	Weekly usage of mobile phone in last 3 months	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use
1130	Hands-free device/speakerphone use with mobile phone in last 3 month	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use
1140	Difference in mobile phone use compared to two years previously	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use
1150	Usual side of head for mobile phone use	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Electronic device use
1160	Sleep duration	Lifestyle and environment	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sleep
